vin,n_files,union_signal_count,schema_version_count,most_common_schema_share,n_change_points,stable_signal_count_95pct,rare_signal_count_5pct
VIN00910,446,184,31,0.3430493273542601,181,84,0
VIN01066,303,173,20,0.4752475247524752,105,133,5
VIN01075,733,200,43,0.20600272851296045,297,87,1
VIN01318,467,201,39,0.20556745182012848,259,84,2
VIN01321,208,194,10,0.4423076923076923,53,101,0
VIN02742,173,177,13,0.7976878612716763,47,144,5
VIN02743,538,173,38,0.379182156133829,207,127,4
VIN02744,541,174,43,0.43068391866913125,181,139,5
VIN02745,276,168,8,0.48188405797101447,81,152,4
VIN02746,281,165,19,0.37722419928825623,105,129,0
VIN02747,161,164,10,0.7018633540372671,51,147,0
VIN02752,325,175,24,0.4707692307692308,154,127,14
VIN02753,527,182,32,0.29791271347248577,219,129,5
VIN02754,544,173,33,0.3069852941176471,183,129,4
VIN02755,452,173,23,0.6858407079646017,137,127,4
VIN02756,554,174,29,0.29783393501805056,235,133,5
VIN02757,814,169,33,0.36117936117936117,199,129,0
VIN02758,529,173,33,0.31568998109640833,275,129,0
VIN02759,573,173,33,0.5078534031413613,220,133,0
VIN02760,532,174,42,0.5695488721804511,228,127,1
VIN02761,643,172,38,0.578538102643857,188,129,3
VIN02762,509,169,33,0.3300589390962672,211,133,0
VIN02763,545,173,31,0.48440366972477067,188,133,4
VIN02764,89,168,7,0.8314606741573034,24,130,12
VIN02765,35,168,10,0.22857142857142856,22,126,0
VIN02766,8,168,6,0.25,7,111,0
VIN02767,63,168,8,0.5873015873015873,26,130,0
VIN02768,106,164,8,0.8490566037735849,30,126,12
VIN02769,158,168,9,0.8481012658227848,42,130,0
VIN02770,40,168,11,0.5,23,111,0
VIN02771,45,168,10,0.6222222222222222,25,130,0
VIN02772,12,152,2,0.9166666666666666,2,148,0
VIN02773,79,164,7,0.8227848101265823,24,126,12
VIN02774,270,173,29,0.6296296296296297,127,130,5
VIN02775,89,168,10,0.6179775280898876,34,136,0
VIN02776,52,168,6,0.5384615384615384,32,151,0
VIN02777,67,168,9,0.4925373134328358,44,130,0
VIN02778,97,145,5,0.8969072164948454,18,123,0
VIN02779,114,164,5,0.9210526315789473,16,142,0
VIN02780,69,164,8,0.7536231884057971,27,142,0
VIN02781,306,169,23,0.37254901960784315,146,127,0
VIN02782,104,164,6,0.8076923076923077,23,130,0
VIN02783,65,160,4,0.7846153846153846,24,126,0
VIN02784,95,160,10,0.7368421052631579,25,145,0
VIN02785,93,164,6,0.8602150537634409,16,130,0
VIN02786,74,164,9,0.5135135135135135,24,126,0
VIN02787,124,164,7,0.6612903225806451,29,140,0
VIN02788,130,165,7,0.676923076923077,34,152,1
VIN02789,75,160,8,0.7066666666666667,26,126,0
VIN02790,36,164,4,0.7222222222222222,13,130,0
VIN02791,56,164,5,0.5178571428571429,40,130,0
VIN02792,13,152,3,0.8461538461538461,3,128,0
VIN02793,341,173,23,0.6158357771260997,147,127,0
VIN02794,416,173,29,0.4423076923076923,213,127,0
VIN02795,283,173,37,0.31448763250883394,178,127,0
VIN02796,330,173,38,0.23030303030303031,184,127,0
VIN02797,251,173,29,0.4820717131474104,130,127,0
VIN02798,345,174,42,0.4144927536231884,212,127,1
VIN02799,24,168,10,0.20833333333333334,17,130,0
VIN02800,50,168,15,0.38,32,126,0
VIN02801,130,168,20,0.36153846153846153,78,111,0
VIN02802,47,168,9,0.40425531914893614,26,130,0
VIN02803,320,173,29,0.61875,142,127,12
VIN02804,336,173,31,0.41369047619047616,174,133,0
VIN02805,75,168,14,0.5066666666666667,41,130,0
VIN02806,69,168,7,0.42028985507246375,38,138,0
VIN02807,11,155,6,0.5454545454545454,7,85,0
VIN02808,94,167,8,0.7553191489361702,33,130,3
VIN02809,410,170,29,0.33414634146341465,223,127,1
VIN02810,508,173,37,0.3543307086614173,213,133,4
VIN02811,98,167,7,0.6428571428571429,34,130,3
VIN02812,50,160,3,0.94,5,160,0
VIN02813,132,167,7,0.7651515151515151,41,136,3
VIN02814,111,167,8,0.6576576576576577,37,130,3
VIN02815,147,164,4,0.7414965986394558,45,152,0
VIN02816,44,164,7,0.5454545454545454,17,130,0
VIN02817,295,171,28,0.5389830508474577,113,127,2
VIN02818,86,164,7,0.7209302325581395,23,130,0
VIN02819,38,164,7,0.7631578947368421,16,130,0
VIN02820,416,172,24,0.5721153846153846,146,127,3
VIN02821,146,168,8,0.8835616438356164,21,152,4
VIN02822,106,165,7,0.839622641509434,22,152,1
VIN02823,335,170,34,0.28059701492537314,188,112,1
VIN02824,112,169,18,0.25892857142857145,54,123,0
VIN02825,113,164,3,0.9646017699115044,6,152,12
VIN02826,372,173,25,0.3924731182795699,169,127,4
VIN02827,122,164,7,0.860655737704918,15,158,0
VIN02828,301,170,39,0.2956810631229236,165,123,1
VIN02829,108,169,15,0.4166666666666667,57,129,0
VIN02830,444,174,29,0.29954954954954954,192,129,5
VIN02831,100,161,15,0.41,47,132,1
VIN02832,65,164,5,0.5076923076923077,21,130,0
VIN02833,100,164,10,0.69,42,136,0
VIN02834,63,164,7,0.7301587301587301,26,130,0
VIN02835,43,164,6,0.6046511627906976,12,126,12
VIN02836,24,164,5,0.5416666666666666,15,130,0
